Industry,PRIORITY,Business Name,Phone,Notes,Web Status,Claimed?,Tech Stack,Email,Socials,Address,Rating,Website
Service Pro,GOLD,,,No specific digital presence. ,NO WEBSITE,true,,,,,,
Plumbers,GOLD,All 24 HR Plumbing Brooklyn,+1 347-919-2325 ,No specific digital presence. ,NO WEBSITE,true,,,,"207 Ocean Pkwy, Brooklyn, NY 11218, United States ",,
Plumbers,GOLD,Plumbing Brooklyn & Drainage Clean Star,+1 332-388-8062 ,No specific digital presence. ,NO WEBSITE,true,,,,"822 Clarkson Ave 3rd floor, Brooklyn, NY 11203, United States ",,
Plumbers,GOLD,"Reliable Brooklyn Plumbing, Heating & Cooling",+1 516-514-1013 ,No specific digital presence. ,NO WEBSITE,true,,,,"2357 60th St #216, Brooklyn, NY 11204, United States ",,
Plumbers,GOLD,Brooklyn Prestige Plumbing 24/7,+1 332-239-4010 ,No specific digital presence. ,NO WEBSITE,true,,,,"2 Berkeley Pl, Brooklyn, NY 11217, United States ",,
Plumbers,GOLD,Express Brooklyn Plumbing & Drain Clean,+1 332-286-1445 ,No specific digital presence. ,NO WEBSITE,true,,,,"396 Johnson Ave #210, Brooklyn, NY 11206, United States ",,
Plumbers,GOLD,Ste Brooklyn Drain Clean & Plumbing,+1 332-266-3788 ,No specific digital presence. ,NO WEBSITE,true,,,,,,
Plumbers,GOLD,SMB Plumbing and Heating Corp,+1 917-292-8448 ,No specific digital presence. ,NO WEBSITE,true,,,,"1034 Rogers Ave, Brooklyn, NY 11226, United States ",,
Plumbers,GOLD,Queens Plumbing & Drain Cleaning,+1 929-594-3446 ,No specific digital presence. ,NO WEBSITE,true,,,,"91-31 Queens Blvd, Elmhurst, NY 11373, United States ",,
Plumbers,GOLD,Plumbing emergency service 24 7,+1 917-603-7751 ,No specific digital presence. ,NO WEBSITE,true,,,,"25-81 34th St, Astoria, NY 11103, United States ",,
Plumbers,GOLD,Ajax Plumbing & Heating Corp,+1 718-224-5517 ,No specific digital presence. ,NO WEBSITE,true,,,,"48-52 Clearview Expy, Bayside, NY 11364, United States ",,
Plumbers,GOLD,Woodhaven Plumbing & Heating Corporation.,+1 718-804-5186 ,No specific digital presence. ,NO WEBSITE,true,,,,"103-19 101st Ave, Ozone Park, NY 11416, United States ",,
Construction,GOLD,Proline Home Renovations Inc. 24/7 Emergency Plumber and Drain Cleaning,+1 718-791-7443 ,No specific digital presence. ,NO WEBSITE,true,,,,"31-60 36th St, Astoria, NY 11106, United States ",,
Plumbers,GOLD,AJC Plumbing & Heating Corporation,+1 718-779-8144 ,No specific digital presence. ,NO WEBSITE,true,,,,"34-48 75th St, Flushing, NY 11372, United States ",,
Plumbers,GOLD,Raytone Plumbing Specialties Incorporated,+1 718-326-0494 ,No specific digital presence. ,NO WEBSITE,true,,,,"59-26 57th St, Flushing, NY 11378, United States ",,
Plumbers,GOLD,Liberty Plumbing And Industrial Supply,,No specific digital presence. ,NO WEBSITE,true,,,,"139-93 Liberty Ave, Jamaica, NY 11435, United States ",,
