PRIORITY,Business Name,Phone,Suggested Script / Notes,Tech Status,Rating,Reviews,Email,Website URL
GOLD,All 24 HR Plumbing Brooklyn,+1 347-919-2325 ,Perfect Target. Call: 'I noticed you don't have a site...',NO WEBSITE,4.9,64,,
GOLD,Plumbing Brooklyn & Drainage Clean Star,+1 332-388-8062 ,Perfect Target. Call: 'I noticed you don't have a site...',NO WEBSITE,4.9,72,,
GOLD,Brooklyn Prestige Plumbing 24/7,+1 332-239-4010 ,Perfect Target. Call: 'I noticed you don't have a site...',NO WEBSITE,4.7,27,,
GOLD,"Reliable Brooklyn Plumbing, Heating & Cooling",+1 516-514-1013 ,Perfect Target. Call: 'I noticed you don't have a site...',NO WEBSITE,5,33,,
GOLD,SMB Plumbing and Heating Corp,+1 917-292-8448 ,Perfect Target. Call: 'I noticed you don't have a site...',NO WEBSITE,4.8,67,,
GOLD,Express Brooklyn Plumbing & Drain Clean,+1 332-286-1445 ,Perfect Target. Call: 'I noticed you don't have a site...',NO WEBSITE,4.9,27,,
GOLD,Prestige Line Plumbers 24/7,+1 332-233-8228 ,Perfect Target. Call: 'I noticed you don't have a site...',NO WEBSITE,5,73,,
SILVER,"24 Hr. Emergency Plumbing, Hot Water Heater & Boiler Replacement",+1 518-335-4282 ,Site is down/broken. Call: 'I clicked your link/buttons and they don't work...',BROKEN SITE,4.9,572,,http://www.plumbingandhomerepair.com/
SILVER,"Petri Plumbing, Heating Cooling & Drain Cleaning",+1 929-209-4685 ,Site is down/broken. Call: 'I clicked your link/buttons and they don't work...',BROKEN SITE,4.7,1011,,https://www.petriplumbing.com/?utm_source=google&utm_medium=gbp&utm_campaign=butler
SILVER,Philco Plumbing and Heating,+1 718-605-0450 ,Site is down/broken. Call: 'I clicked your link/buttons and they don't work...',BROKEN SITE,4.8,385,,http://www.philconyc.com/
SILVER,Downtown Plumbing & Heating,+1 718-858-7070 ,Site is down/broken. Call: 'I clicked your link/buttons and they don't work...',BROKEN SITE,4,20,,http://www.calldowntownplumbing.com/
